,real_amp_greater,density_greater,spread_less,fr_two_sided,snr_two_sided
cwm-25,7.79472116328942e-10,3.200768159163887e-05,0.9890896765847509,0.4457422820754441,5.28882717531846e-06
cwm-Cd,1.1153152523990498e-22,1.8513109146128298e-14,0.9768959534727382,0.0047809344524387225,1.3139099466234971e-17
cwm-8B,7.600529142546394e-21,1.099744252035576e-07,0.16046336549738832,0.5172037096877027,1.030910434060762e-17
cwm-6DR(F7),1.816386117197368e-13,0.00010234974213132,0.9968600710116738,0.14310757346333566,6.335529060996639e-10
